create EgoNets       a) assign IDs        b) find triangles    c) cluster EgoNet    d) compact EgoNet    e) EgoNet subsets    f) EgoNet subsetCnt  g) clean up          split Personas       connect Personas     Persona Clustering   create Cover         
0.071726             0.0                  0.009607             0.051471             0.00171              0.002228             0.001033             0.0                  5.3e-05              0.00233              0.005443             0.00043              
0.069829             1e-06                0.009294             0.050153             0.001691             0.002156             0.001032             0.0                  4.3e-05              0.002156             0.005668             0.00043              
0.071539             2e-06                0.009584             0.050943             0.001715             0.002356             0.001022             0.0                  7.9e-05              0.002833             0.007044             0.000416             
0.068394             2e-06                0.00884              0.049241             0.001689             0.002029             0.001018             0.0                  7e-05                0.002787             0.009091             0.000416             
0.068655             2e-06                0.009364             0.0489               0.001615             0.002195             0.001045             0.0                  8.5e-05              0.002877             0.007973             0.000623             
0.04173              0.0                  0.002888             0.031143             0.001027             0.000529             0.000299             0.0                  5.1e-05              0.001011             0.003427             0.000527             
0.045435             0.0                  0.00325              0.034248             0.001069             0.000685             0.000429             0.0                  6.7e-05              0.001505             0.003869             0.000494             
0.039424             0.0                  0.002943             0.029385             0.000883             0.000535             0.000345             0.0                  5e-05                0.001056             0.003197             0.000507             
0.044569             0.0                  0.003114             0.033467             0.001089             0.000681             0.000486             0.0                  5.7e-05              0.001237             0.003886             0.000513             
0.044232             0.0                  0.003054             0.033363             0.000996             0.000558             0.000503             0.0                  4.9e-05              0.000986             0.004029             0.000497             
0.04674              1e-06                0.003503             0.0348               0.00112              0.000853             0.000532             0.0                  6.5e-05              0.001541             0.00446              0.000546             
0.044692             0.0                  0.003247             0.033545             0.001098             0.000706             0.000427             0.0                  5.4e-05              0.001129             0.003658             0.000499             
0.043187             1.3e-05              0.003029             0.032408             0.000979             0.000579             0.000444             0.0                  6.1e-05              0.001329             0.003618             0.000487             
0.041191             0.0                  0.002905             0.030791             0.00087              0.000512             0.000429             0.0                  4.6e-05              0.000948             0.003215             0.000504             
0.043745             0.0                  0.003077             0.032563             0.001083             0.000694             0.00044              0.0                  6.4e-05              0.001407             0.0038               0.000518             
0.041146             1e-06                0.002524             0.030826             0.000994             0.000642             0.000481             0.0                  8.7e-05              0.001701             0.005625             0.000978             
0.040557             0.0                  0.002349             0.03042              0.001112             0.000601             0.000317             0.0                  5.2e-05              0.001024             0.00613              0.001008             
0.041589             0.0                  0.002349             0.031376             0.001002             0.000592             0.000487             0.0                  5.3e-05              0.001026             0.005413             0.001016             
0.041459             0.0                  0.002605             0.030877             0.001125             0.000781             0.000371             0.0                  8.5e-05              0.001614             0.006553             0.001033             
0.03788              0.0                  0.002224             0.028667             0.000988             0.000546             0.000248             0.0                  5.1e-05              0.001062             0.005624             0.001009             
0.039229             1e-06                0.002141             0.029432             0.000997             0.000568             0.000396             0.0                  5.3e-05              0.001055             0.005811             0.001042             
0.042841             0.0                  0.002458             0.031652             0.001186             0.000839             0.000322             0.0                  6.9e-05              0.00145              0.007994             0.001127             
0.037009             1e-06                0.002024             0.027568             0.001003             0.000554             0.00027              0.0                  5.3e-05              0.001061             0.006359             0.001058             
0.040595             0.0                  0.002262             0.030441             0.001115             0.000547             0.000394             0.0                  5.3e-05              0.001056             0.005546             0.001003             
0.041353             0.0                  0.002421             0.030953             0.001123             0.000678             0.000417             0.0                  5.8e-05              0.001192             0.005608             0.00101              
6.665418             0.000172             0.617725             3.751861             0.052518             0.042615             0.017342             1.1e-05              0.018387             0.556419             1.587448             0.432508             
0.075796             1.7e-05              0.016483             0.04706              0.001448             0.003873             0.000969             0.0                  7.9e-05              0.004672             0.006486             0.000509             
0.063143             0.0                  0.010422             0.041789             0.001378             0.002771             0.000971             2e-05                5e-05                0.002128             0.004641             0.000558             
0.062675             1e-06                0.010232             0.041662             0.001459             0.002838             0.000934             0.0                  6.3e-05              0.002607             0.005248             0.000419             
0.063859             1e-06                0.010237             0.042564             0.001471             0.00282              0.00098              0.0                  5.5e-05              0.002355             0.004299             0.000437             
0.060367             2e-06                0.009612             0.040266             0.001391             0.00256              0.001012             0.0                  5.7e-05              0.00203              0.004382             0.000399             
0.061027             1e-06                0.009676             0.040662             0.001343             0.002707             0.001016             0.0                  6.8e-05              0.002879             0.005388             0.000402             
0.060064             0.0                  0.0095               0.040039             0.00135              0.002575             0.001013             0.0                  3.8e-05              0.002041             0.004374             0.000404             
0.0614               1e-06                0.009806             0.040906             0.001395             0.002764             0.001014             0.0                  6.7e-05              0.002801             0.005415             0.00041              
0.062605             2e-06                0.009804             0.041924             0.001384             0.002708             0.001029             0.0                  5.3e-05              0.002557             0.004461             0.000398             
0.066073             0.0                  0.010548             0.044329             0.001501             0.002987             0.001065             0.0                  7.9e-05              0.003188             0.005667             0.000455             
0.031617             0.0                  0.003714             0.019311             0.000786             0.001029             0.00065              0.0                  4e-05                0.000906             0.003101             0.000522             
0.028272             0.0                  0.003337             0.017352             0.000543             0.000835             0.000345             0.0                  4.3e-05              0.000908             0.003166             0.000512             
0.031314             1e-06                0.003906             0.018914             0.000762             0.001213             0.000597             0.0                  5e-05                0.001075             0.002948             0.00053              
0.031262             1e-06                0.003683             0.019362             0.000826             0.000988             0.000661             0.0                  9.6e-05              0.001928             0.002685             0.000549             
0.029732             0.0                  0.003489             0.018128             0.000659             0.000985             0.000503             0.0                  4.2e-05              0.000904             0.003094             0.00049              
0.031505             1e-06                0.003855             0.019113             0.00075              0.001323             0.000542             0.0                  6.5e-05              0.001509             0.002367             0.00052              
0.030396             0.0                  0.0036               0.018628             0.000814             0.000961             0.000546             0.0                  4.2e-05              0.000912             0.003036             0.000525             
0.030068             0.0                  0.003564             0.018415             0.000746             0.000908             0.000593             0.0                  3.9e-05              0.00091              0.002988             0.000633             
0.030281             0.0                  0.003551             0.018589             0.000797             0.000988             0.000544             0.0                  4.3e-05              0.000935             0.00309              0.000543             
0.030733             1e-06                0.003763             0.018281             0.00066              0.00126              0.000392             0.0                  6.2e-05              0.001466             0.00258              0.000534             
0.027642             1e-06                0.002954             0.016421             0.000843             0.001051             0.000571             0.0                  5.1e-05              0.00098              0.004157             0.001013             
0.028437             0.0                  0.002912             0.016973             0.000899             0.001034             0.000706             0.0                  4.7e-05              0.000981             0.004385             0.001052             
0.027707             1e-06                0.0028               0.016305             0.000919             0.001131             0.000618             0.0                  4.9e-05              0.001015             0.004418             0.00107              
0.026272             1e-06                0.0028               0.015132             0.000615             0.001228             0.000404             0.0                  7.3e-05              0.001594             0.004605             0.001082             
0.027402             0.0                  0.002892             0.016317             0.00075              0.001275             0.000516             0.0                  4.9e-05              0.001034             0.004317             0.00105              
