algo                     graph      F1       F1_rev   NMI      time     
Ego_PLP                  LFR_mu_55  0.3328   0.4181   0.0813   0.0468   
Ego_PLP                  LFR_mu_55  0.3110   0.4135   0.0517   0.0517   
Ego_PLP                  LFR_mu_55  0.2709   0.3265   0.0287   0.0458   
Ego_PLP_clean_OSLOM      LFR_om_1   1.0000   1.0000   1.0000   3.8377   
Ego_PLP_clean_OSLOM      LFR_om_1   0.9566   0.9627   0.9231   3.2528   
Ego_PLP_clean_OSLOM      LFR_om_1   1.0000   1.0000   1.0000   3.4563   
Ego_PLP_clean_OSLOM      LFR_om_1   0.9707   0.9909   0.9691   3.3449   
Ego_PLP_clean_OSLOM      LFR_om_1   1.0000   1.0000   1.0000   3.6103   
Ego_PLP_clean_OSLOM      LFR_om_2   0.9470   0.9470   0.8558   6.8188   
Ego_PLP_clean_OSLOM      LFR_om_2   0.9630   0.9630   0.8873   6.4347   
Ego_PLP_clean_OSLOM      LFR_om_2   0.9538   0.9538   0.8678   6.8439   
Ego_PLP_clean_OSLOM      LFR_om_2   0.9619   0.9619   0.8853   6.6187   
Ego_PLP_clean_OSLOM      LFR_om_2   0.9622   0.9622   0.8861   6.4865   
Ego_PLP_clean_OSLOM      LFR_om_3   0.0296   0.0266   0.0000   0.5058   
Ego_PLP_clean_OSLOM      LFR_om_3   0.0295   0.0266   0.0000   0.5487   
Ego_PLP_clean_OSLOM      LFR_om_3   0.0284   0.0258   0.0000   0.4989   
Ego_PLP_clean_OSLOM      LFR_om_3   0.0298   0.0272   0.0000   0.5383   
Ego_PLP_clean_OSLOM      LFR_om_3   0.0286   0.0259   0.0000   0.5500   
Ego_PLP_clean_OSLOM      LFR_om_4   0.0290   0.0257   0.0000   0.6671   
Ego_PLP_clean_OSLOM      LFR_om_4   0.0298   0.0263   0.0000   0.6909   
Ego_PLP_clean_OSLOM      LFR_om_4   0.0295   0.0260   0.0000   0.6779   
Ego_PLP_clean_OSLOM      LFR_om_4   0.0296   0.0262   0.0000   0.6477   
Ego_PLP_clean_OSLOM      LFR_om_4   0.0295   0.0260   0.0000   0.6723   
Ego_PLP_clean_OSLOM      LFR_om_5   0.0296   0.0256   0.0000   0.8341   
Ego_PLP_clean_OSLOM      LFR_om_5   0.0304   0.0264   -1.0000  0.8238   
Ego_PLP_clean_OSLOM      LFR_om_5   0.0303   0.0262   -1.0000  0.8229   
Ego_PLP_clean_OSLOM      LFR_om_5   0.0302   0.0259   0.0000   0.8098   
Ego_PLP_clean_OSLOM      LFR_om_5   0.0295   0.0256   -1.0000  0.8187   
Ego_PLP_clean_OSLOM      LFR_mu_00  0.9810   0.9810   0.9329   3.1665   
Ego_PLP_clean_OSLOM      LFR_mu_00  0.9694   0.9552   0.9066   3.1023   
Ego_PLP_clean_OSLOM      LFR_mu_00  0.9791   0.9791   0.9311   3.3021   
Ego_PLP_clean_OSLOM      LFR_mu_00  0.9789   0.9789   0.9313   2.9017   
Ego_PLP_clean_OSLOM      LFR_mu_00  0.9750   0.9677   0.9083   3.6040   
